Product,Release,ExtendedEndDate,End of life,Vendor,End of support,Branch,Status
Internet Explorer 11 on Windows 10 Semi-Annual Channel (SAC),,,,microsoft,,,
Internet Explorer 7,Original Release,,,microsoft,,,
Internet Explorer 8,,,,microsoft,,,
Internet Explorer 9,,,,microsoft,,,
Internet Information Services (IIS),IIS 6.0 on Windows Server 2003,,,microsoft,,,
Internet Information Services (IIS),IIS 7.0 on Windows Server 2008*,,,microsoft,,,
Internet Information Services (IIS),IIS 7.5 on Windows 7*,,,microsoft,,,
Internet Information Services (IIS),IIS 7.5 on Windows Server 2008 R2*,,,microsoft,,,
Internet Information Services (IIS),IIS 8 on Windows Server 2012,,,microsoft,,,
Internet Information Services (IIS),IIS 8.5 on Windows 8.1,,,microsoft,,,
Internet Information Services (IIS),IIS 8.5 on Windows Server 2012 R2,,,microsoft,,,
Internet Information Services (IIS),IIS 10 on Windows 10 Pro,,,microsoft,,,
Internet Information Services (IIS),"IIS 10 on Windows 10, Enterprise and Education",,,microsoft,,,
Internet Information Services (IIS),IIS 10 on Windows Server 2016,,,microsoft,,,
Internet Information Services (IIS),IIS 10 on Windows Server (Semi-Annual Channel),,,microsoft,,,
Internet Information Services (IIS),IIS 10 on Windows Server 2019,,,microsoft,,,
Kaizala,,,2023-08-31,microsoft,,,
Learning Essentials 2.0 for Microsoft Office,,,,microsoft,,,
Learning Essentials v1.5 with SCORM,,,,microsoft,,,
Lync 2013,,2023-04-11,,microsoft,,,
Lync 2013,,2023-04-11,,microsoft,,,
Lync Meeting Room,,,,microsoft,,,
Machine Learning Studio (classic),,,2024-08-31,microsoft,,,
Microsoft .NET and .NET Core,.NET Core 1.0,,,microsoft,,,
Microsoft .NET and .NET Core,.NET Core 1.1,,,microsoft,,,
Microsoft .NET and .NET Core,.NET Core 2.0,,,microsoft,,,
Microsoft .NET and .NET Core,.NET Core 2.1 (LTS),,,microsoft,,,
Microsoft .NET and .NET Core,.NET Core 2.2,,,microsoft,,,
Microsoft .NET and .NET Core,.NET Core 3.0,,,microsoft,,,
Microsoft .NET and .NET Core,.NET Core 3.1 (LTS),,,microsoft,,,
Microsoft .NET and .NET Core,.NET 5.0,,,microsoft,,,
Microsoft .NET and .NET Core,.NET 6.0 (LTS),,,microsoft,,,
Microsoft .NET and .NET Core,.NET 7,,,microsoft,,,
Microsoft .NET Framework,.NET Framework 2.0,,,microsoft,,,
Microsoft .NET Framework,.NET Framework 3.0,,,microsoft,,,
